STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-03-30,0.0,64.0,37.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-03-31,0.31,68.0,38.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-01,0.0,68.0,50.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-02,1.01,62.0,49.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-03,0.0,58.0,39.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-04,0.13,63.0,36.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-05,0.0,49.0,30.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-06,0.0,58.0,35.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-07,0.0,69.0,41.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-08,0.0,72.0,48.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-09,0.0,76.0,52.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-10,0.0,79.0,57.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-11,0.0,81.0,59.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-12,0.17,78.0,56.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-13,1.2,76.0,58.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-14,0.09,65.0,41.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-15,0.07,49.0,38.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-16,0.39,65.0,47.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-17,0.12,61.0,38.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-18,0.0,55.0,34.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-19,0.0,61.0,30.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-20,0.0,69.0,46.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-21,0.15,68.0,47.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-22,0.0,68.0,37.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-23,0.0,74.0,48.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-24,0.46,69.0,42.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-25,0.0,48.0,39.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-26,0.63,52.0,38.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-27,0.0,61.0,33.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-28,0.0,56.0,48.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-29,0.0,65.0,35.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-04-30,0.0,62.0,41.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-01,0.0,63.0,31.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-02,0.34,63.0,45.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-03,0.19,48.0,40.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-04,0.05,61.0,42.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-05,0.01,67.0,39.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-06,0.0,75.0,41.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-07,1.59,74.0,46.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-08,0.0,56.0,40.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-09,0.0,54.0,32.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-10,0.26,54.0,35.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-11,0.0,65.0,36.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-12,0.0,74.0,53.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-13,0.0,73.0,49.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-14,0.36,70.0,47.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-15,1.43,47.0,40.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-16,0.48,47.0,42.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-17,0.08,48.0,44.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-18,0.0,65.0,44.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-19,0.0,69.0,40.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-20,0.68,80.0,55.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-21,0.0,81.0,55.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-22,0.0,75.0,50.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-23,0.0,77.0,48.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-24,0.04,80.0,53.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-25,0.0,76.0,53.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-26,0.0,84.0,57.0
USC00110766,"NORMAL 4 NE, IL US",40.51667,-89.0,241.1,1945-05-27,0.0,83.0,60.0
